"id","gender","a0p","a1p","a2p","a3p","a4p","a5p","a6p","a7p","a8p","a9p","a10p","a100p","q1p","q2p","q3p","q4p","q5p","q6p","q7p","q8p","q9p","q10p","q11p","q12p","q13p","q14p","q15p","q16p","q17p","q18p","a0t","a1t","a2t","a3t","a4t","a5t","a6t","a7t","a8t","a9t","a10t","a100t","q1p","q2p","q3p","q4p","q5p","q6p","q7p","q8p","q9p","q10p","q11p","q12p","q13p","q14p","q15p","q16p","q17p","q18p","q1t1","q1t2","q1t3","q2t","q3t","q4t1","q4t2","q5t","q6t1","q6t2","q7t","q8t","q9t","q10t","q11t1","q11t2","q12t","q13t","q14t1","q14t2","q15t1","q15t2","q16t1","q16t2","q17t1","q17t2","q18t1","q18t2"
"396","m","0","1","0","1","0","1","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","1","0","1","1","1","1","0","2","1","3","0","1","2","3","2","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","1","0","1","1","1","3","2","1","1","1","1","1","1","2","0","3","2","3","3","2","0","4","3","2","1","4","0","0","2","3","2","3"
"397","m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"398","m","1","1","0",NULL,NULL,"1","0","0",NULL,NULL,"1","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","1",NULL,"0","3","4","4",NULL,NULL,"3","1","4",NULL,NULL,"2","1","1","0","0","0","1","1","1","0","0","1","0","0","0","0","1","1",NULL,"0","4","3","4","4","4","2","3","2","1","3","3","2","4","2","2","3","2","4","2","3","2","3","2","3",NULL,NULL,"2","3"
"399","f","1","1","1","1","1","0","1","1","1","1","0","1","1",NULL,"0",NULL,"0","1",NULL,"0","1",NULL,"0","1","1","0","0",NULL,"0","0","1","4","3","1","3","3","1","1","1","3","1","3","1",NULL,"0",NULL,"0","1",NULL,"0","1",NULL,"0","1","1","0","0",NULL,"0","0","4","3","1",NULL,"0",NULL,NULL,"1","2","1",NULL,"0","1",NULL,"0","0","1","4","2","3","3","2",NULL,NULL,"1","1","2","3"
"400","m","0","0","0","1","1","0","1","0","1","0","1","1","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","4","4","4","4","0","1","3","1","3","4","3","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","4","3","4","1","1","3","1","4","0","3","3","4","2","3","4","0","1","2","1","3","1","1","1","3","1","3"
"401","m","1","1","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","1","1","0","1","0","0","1","1","0","1","0","1","1","1","3","1","1","2","3","2","1","1","1","4","1","1","1","1","0","1","1","1","0","1","0","0","1","1","0","1","0","1","1","4","3","2","1","2","3","1","2","3","1","2","2","3","2","3","2","2","2","3","2","3","1","3","1","3","1","3","1"
"402","m",NULL,"1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",NULL,"1","1","1","1","0","0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4",NULL,"0",NULL,"1","1","1","1","0","0","0","0","0","0",NULL,NULL,NULL,NULL,NULL,NULL,"2","2","3",NULL,"1","4","3","1","1","1","0","0","3","3","1","3","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"403","f","1","0","1","1",NULL,"0","1","0","1",NULL,"0","1","1","1","0","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","0","4","1",NULL,"4","4","4","4",NULL,"1","3","1","1","0","0","0","1","1","0","1","0","0","1","1","0","1","0","0","1","1","1","3","4","4","1","4","4","1","4","4","4","3","0","3","2","4","4","1","2","1","3","1","1","1","1","1","3"
"404","f",NULL,"1","0",NULL,"0","0","0","0",NULL,"1","0",NULL,"1",NULL,"1",NULL,"1","1","0","0","1","0","0","1","1","0",NULL,NULL,NULL,NULL,NULL,"2","2",NULL,"2","2","3","3",NULL,"3","2",NULL,"1",NULL,"1",NULL,"1","1","0","0","1","0","0","1","1","0",NULL,NULL,NULL,NULL,"4","3","2",NULL,"2",NULL,NULL,"2","3","2","0","0","3","0","3","2","2","2","3","2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"405","m","1","1","1","1","1","1","0","1","0","1","0","1","0","0","0",NULL,"0","0",NULL,"1","1","0",NULL,"0","1","0","0",NULL,"1",NULL,"1","1","2","2","2","3","2","2","2","1","1","1","0","0","0",NULL,"0","0",NULL,"1","1","0",NULL,"0","1","0","0",NULL,"1",NULL,"1","3","2","2","1",NULL,NULL,"1","3","1",NULL,"3","2","2",NULL,NULL,"0","2","3","1","1","2",NULL,NULL,"3","2",NULL,NULL
"406","m","0","1","0","0","1","1","0","1","1","0","1","0","1","1","0","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","2","2","0","2","3","0","1","1","1","2","0","1","1","0","0","1","0","1","1","0","1","0","1","1","1","0","1","1","1","1","3","2","1","1","3","1","0","3","1","2","0","0","3","2","3","2","2","3","2","3","1","3","2","3","2","3","2"
"407","f","0","1","1","1","0","1","1","1","1","0","1","1","1","1","0",NULL,"1","1","1","1","0","0",NULL,"0","1","1",NULL,"0",NULL,NULL,"0","1","3","1","0","2","1","2","1","3","1","3","1","1","0",NULL,"1","1","1","1","0","0",NULL,"0","1","1",NULL,"0",NULL,NULL,"2","3","1","1","1",NULL,NULL,"1","4","1","1","1","1","3",NULL,NULL,"0","1","3","2",NULL,NULL,"0","0",NULL,NULL,NULL,NULL
"408","m","0","1",NULL,"1","0","0",NULL,"1",NULL,NULL,"0","1","0",NULL,NULL,NULL,NULL,"0","0","1","0","1",NULL,NULL,"1",NULL,"1",NULL,NULL,NULL,"2","2",NULL,"2","2","3",NULL,"2",NULL,NULL,"2","2","0",NULL,NULL,NULL,NULL,"0","0","1","0","1",NULL,NULL,"1",NULL,"1",NULL,NULL,NULL,"3","3","2",NULL,NULL,NULL,NULL,NULL,"3","2","2","3","2","3",NULL,NULL,NULL,"2",NULL,NULL,"3","2",NULL,NULL,NULL,NULL,NULL,NULL
"409","f",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"410","m","0","1","0","1","1","1",NULL,"0","1","1","1","0","1","1","1",NULL,"0","0","0","0","1","1","1","1","0","1","1","1",NULL,"0","2","2","2","2","2","3",NULL,"2","2","3","2","0","1","1","1",NULL,"0","0","0","0","1","1","1","1","0","1","1","1",NULL,"0","4","3","2","2","2",NULL,NULL,"2","3","2","2","0","3","3","3","2","2","2","3","2","3","2","3","2",NULL,NULL,"3","2"
"411","m","1","1","0","0","0","1","1","0","1","0","1","1","0","0","0","0","1","1","0","1","1","0","0","1","0","1","0","0","0","1","1","0","2","1","4","3","1","4","2","4","4","2","0","0","0","0","1","1","0","1","1","0","0","1","0","1","0","0","0","1","4","3","1","0","0","4","1","4","3","1","2","3","3","0","3","2","2","2","3","1","3","1","3","1","4","2","3","1"
"412","m","1","1","1","1",NULL,NULL,NULL,NULL,NULL,NULL,"0","1","0",NULL,NULL,NULL,"1","0","1","0","0","0",NULL,"1","1",NULL,"1",NULL,"0",NULL,"3","2","4","1",NULL,NULL,NULL,NULL,NULL,NULL,"1","3","0",NULL,NULL,NULL,"1","0","1","0","0","0",NULL,"1","1",NULL,"1",NULL,"0",NULL,"4","3","1",NULL,NULL,NULL,NULL,"2","3","4","1","1","2","4",NULL,NULL,"1","4",NULL,NULL,"2","2",NULL,NULL,"2","3",NULL,NULL
"413","m","1","1","0","1","1","0","1","1","0","0","1","1","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","2","1","1","1","2","3","4","1","1","0","2","2","0","1","1","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","4","3","2","1","2","1","3","2","3","2","0","3","2","3","3","2","0","2","3","2","3","2","0","0","3","2","0","0"
"414","m","1","1","1","1","1","1","1","1","0","1","0","1","0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","1","1","1","4","1","1","3","2","1","2","3","2","1","0","1","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0","1","4","3","2","1","0","1","1","2","3","2","2","1","2","3","3","2","2","2","3","2","3","1","2","2","1","1","3","2"
"416","m","0","0","0","1",NULL,"0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","2","4","4",NULL,"1","1","1","1","2","2","3","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","2","3","2","0","0","3","1","4","0","0","2","2","4","0","2","3","1","2","3","2","3","1","1","4","3","2","1","3"
"417","m","1","1","0","1","1","0","0","0","0",NULL,"0","0","0",NULL,NULL,NULL,"0","1",NULL,"0",NULL,NULL,NULL,"1","0",NULL,NULL,"1","1","1","3","3","4","1","4","0","0","1","4",NULL,"4","0","0",NULL,NULL,NULL,"0","1",NULL,"0",NULL,NULL,NULL,"1","0",NULL,NULL,"1","1","1","1","1","3",NULL,NULL,NULL,NULL,"4","1","3",NULL,"0",NULL,NULL,NULL,NULL,"1","4",NULL,NULL,NULL,NULL,"2","3","2","4","1","3"
"418","m","0","1","1","1","1","1","1","0","1","1","1","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"3","1","2","1","4","3","4","3","1","3","4","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"419","m",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","0",NULL,NULL,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","0","0","1","1","1","0","1","1","1","0","0","1","1","1","0","0","1","3","2","1","2","3","2","1","3","2","2","0","2","3","2","3","0","0","3","2","1","1","2","2","3","1","1","4"
"420","m","1","1","1","0","1","1","1","1","0","1","0","1","0","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","1","1","1","4","1","4","3","4","1","4","3","4","1","0","1","0","1","0","1","1","1","1","1","0","0","0","1","1","0","0","1","3","3","1","4","1","1","3","2","1","4","4","1","3","3","4","1","1","2","1","3","1","4","2","3","3","3","1","4"
"421","m","0","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","1","1","0","1","2","3","1","1","2","1","2","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","3","2","1","2","1","1","1","1","2","1","0","1","3","1","1","1","2","1","1","1","1","2","1","1","1","1","2","2"
"422","m","0","0",NULL,"1","0",NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,"3","0",NULL,"1","2",NULL,NULL,NULL,NULL,NULL,"2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"423","m","1","1","0","1","0","0","0","0","0","0",NULL,NULL,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,"0","0","0","0","1","0","0",NULL,NULL,"2","2","2","1","2","0","0","1","1","2",NULL,NULL,"0","0",NULL,NULL,"0","0",NULL,NULL,NULL,"0","0","0","0","1","0","0",NULL,NULL,"3","1","1","2",NULL,NULL,NULL,"1","0","0",NULL,NULL,NULL,"2","1","2","0","2","3","2","3","4","2","0",NULL,NULL,NULL,NULL
"424","m","0","1","0","1","1","1","1","1","1","0","0","1","0",NULL,"0","0","1","0","0","0","1","1",NULL,"1","0","0","0","1","1","1","0","1","1","1","4","3","4","1","1","3","4","1","0",NULL,"0","0","1","0","0","0","1","1",NULL,"1","0","0","0","1","1","1","4","3","2",NULL,"1","1","1","2","3","2","3","1","3","3",NULL,NULL,"1","2","3","2","3","1","1","1","1","1","1","4"
"425","m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"426","m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"427","m","0","1","1","1","1","0","0","0","1","0","1","0","0","0",NULL,"0","1","0","0","0","0","1","0","1",NULL,"0","0",NULL,NULL,NULL,"0","2","2","2","2","2","2","3","2","0","2","0","0","0",NULL,"0","1","0","0","0","0","1","0","1",NULL,"0","0",NULL,NULL,NULL,"0","0","0","2",NULL,"1","1","4","2","3","0","2","4","4","2","3","2",NULL,"2","3","3","4",NULL,NULL,NULL,NULL,NULL,NULL
"428","m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"429","m","0","1","0","1","1","0","1","0","1","1","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","4","4","4","4","4","4","4","4","4","4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"430","m","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1",NULL,"0","1","1","1","1","1","0","1","1","0","0",NULL,NULL,NULL,"2","1","4","1","4","3","1","1","2","3","3","1","0","0","1",NULL,"0","1","1","1","1","1","0","1","1","0","0",NULL,NULL,NULL,"4","3","1","4","1",NULL,NULL,"4","3","1","1","3","3","3","3","1","1","4","3","1","3","1",NULL,NULL,NULL,NULL,NULL,NULL
"431","m","0","1","0","1","1","1","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","2","1","1","3","1","0","1","1","1","1","1","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","4","3","1","4","1","3","1","1","3","1","0","1","3","4","0","0","0","1","3","2","4","1","0","0","3","1","3","1"
"432","f","1","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","1","2","2","1","2","0","3","2","1","3","2","2","1","1","0","1","1","1","1","1","1","1","0","1","1","0","1","0","1","1","4","3","1","4","1","3","1","0","3","1","3","3","2","3","3","2","1","2","2","1","3","1","2","1","2","1","3","1"
"433","m","0","1","1","1","1","1","1","1","1","1","1","0","1","0","0",NULL,"1","1","1","0","1","1",NULL,"0","1","0",NULL,"1","0","0","1","1","1","1","1","1","1","1","1","1","1","0","1","0","0",NULL,"1","1","1","0","1","1",NULL,"0","1","0",NULL,"1","0","0","4","1","3","3","1",NULL,NULL,"1","4","1","1","3","3","1",NULL,NULL,"0","1","4","1",NULL,NULL,"3","1","3","4","1","1"
"434","m","0","1","0","1","0","0","0","0","1","1","0","0","0","1","0","1","0","0","1","0","1","1","0","1","1","0","0",NULL,"0","1","0","2","2","2","2","2","0","4","2","3","2","0","0","1","0","1","0","0","1","0","1","1","0","1","1","0","0",NULL,"0","1","1","3","1","1","1","1","3","1","1","3","2","1","3","3","1","1","1","2","0","0","3","1",NULL,NULL,"1","3","1","3"
"435","m","0","1","0",NULL,"0","0","1","0","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","0",NULL,"1",NULL,"1","1","2","1",NULL,"1","1","1","4","1","1","1","1","1","0","0","1","1","0","1","1","1","1","1","1","1","0",NULL,"1",NULL,"1","2","3","2","1","1","1","1","1","1","2","4","3","4","1","3","2","2","1","2","3",NULL,NULL,"3","1",NULL,NULL,"3","2"
"436","m","0","1","0","1","0","0","0","0","0","0","1","1","0","1","0","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","0","2","2","2","2","1","3","4","4","0","2","2","0","1","0","1","1","0","0","1","1","0","0","0","0","0","1","0","1","1","1","1","4","4","2","3","2","1","1","2","0","3","2","0","3","2","0","4","2","3","3","2","2","2","3","2","3","2"
"438","m","1","1","0","1","1","1","1","1","1","0","0","0","1","1","0","1","1","1","1","0","1","1","0","1","1","0","1","0","0","0","1","4","4","1","1","1","4","1","1","1","3","0","1","1","0","1","1","1","1","0","1","1","0","1","1","0","1","0","0","0","1","3","1","1","1","1","3","1","3","2","4","1","4","4","1","3","1","1","1","3","1","3","0","0","1","3","1","3"
"439","f","1","1","1","1","1","0","0","1","1","0","1","1","0","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","3","2","2","2","0","2","0","2","2","0","2","3","0","1","0","1","1","1","1","1","1","1","0","1","1","0","1","1","0","1","1","1","4","2","2","2","3","2","3","1","4","3","3","3","0","0","0","2","1","3","2","3","2","3","2","3","2","2"
"440","m","1","1","1","1","1","0","0","1","1","1","1","1","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","2","1","4","1","4","3","4","1","1","3","2","2","0","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","4","3","1","1","2","1","1","2","3","1","4","3","3","3","2","3","1","2","1","3","3","1","2","4","2","4","1","4"
"441","m","1","1","0","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","2","2","2","2","2","0","4","1","2","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","3","2","1","2","1","1","1","0","0","0","0","1","0","3","2","0","2","3","2","3","2","0","0","0","0","0","0"
"442","m","1","1","1","1","0","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","2","2","4","1","4","3","4","1","1","3","2","0","1","1","1","0","1","0","0","0","0","0","1","1","1","1","0","0","0","0","1","3","1","1","2","4","3","2","0","0","0","0","0","0","2","3","1","2","2","3","3","1","2","3","0","0","0","0"
"444","m","1","1","0","1",NULL,NULL,NULL,"0","0","0",NULL,"0","0",NULL,NULL,NULL,"1",NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0",NULL,NULL,NULL,NULL,"1","1","1","2",NULL,NULL,NULL,"2","0","2",NULL,"0","0",NULL,NULL,NULL,"1",NULL,"0","0",NULL,NULL,NULL,"0",NULL,"0",NULL,NULL,NULL,NULL,"0","0","0",NULL,NULL,NULL,NULL,"1",NULL,NULL,"0","2",NULL,NULL,NULL,NULL,"0",NULL,"3","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"447","m","1","1","1","1","1","0","1","0","1","1","0","0","1","1","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0","0","2","2","4","1","4","2","4","1","1","3","2","2","1","1","1","1","1","0","1","0","1","0","0","0","1","1","1","0","0","0","4","3","2","1","2","1","1","2","3","1","4","2","3","3","2","3","0","2","2","3","3","1","0","0","0","0","0","0"
"448","m","0","0","1","1","0","0","0","0","0","1","0",NULL,NULL,"0","0","0",NULL,NULL,"0",NULL,"0","1","0","0","0","0","1",NULL,NULL,NULL,"2","1","1","1","0","1","4","1","1","3","1",NULL,NULL,"0","0","0",NULL,NULL,"0",NULL,"0","1","0","0","0","0","1",NULL,NULL,NULL,NULL,NULL,NULL,"1","0","1","1",NULL,NULL,NULL,"0",NULL,"3","2","0","3","0","2","1","3","3","1",NULL,NULL,NULL,NULL,NULL,NULL
"451","m","0","1","1","1","0","0","1","1","1","1","0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","3","4","4","0","3","4","1","3","3","4","4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"452","m","0","0","0","0","0","0","1","0","1","1","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0","0","1","1","0","2","1","1","1","3","4","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"453","f","1","1","0","1","0","1","1","1","1",NULL,"1","0","0",NULL,"1","1","0","0","1","1",NULL,"0",NULL,"0","1",NULL,NULL,"1","0",NULL,"1","1","1","1","1","3","1","1","1",NULL,"1","1","0",NULL,"1","1","0","0","1","1",NULL,"0",NULL,"0","1",NULL,NULL,"1","0",NULL,"4","3","1",NULL,"1","3","1","2","3","1","1","3",NULL,"3",NULL,NULL,"0","4",NULL,NULL,NULL,NULL,"3","1","3","1",NULL,NULL
"454","m","1","1","1","1","0","1","1","1","1","1","1","1","0","0","0","1","1","0","0",NULL,"0","1","0","0","1","0","1","0","0","0","2","4","4","4","4","3","4","4","3","4","4","3","0","0","0","1","1","0","0",NULL,"0","1","0","0","1","0","1","0","0","0","3","1","4","4","2","1","3","4","1","4","4",NULL,"4","3","2","3","0","4","2","3","2","3","2","4","4","3","2","3"
"456","f","0","1","1","1","0","1","0","1","1","0","1","1","0",NULL,"0",NULL,"0","0",NULL,"0","0","0",NULL,"0","1","0","0","1",NULL,NULL,"0","0","1","1","4","0","0","0","2","3","0","3","0",NULL,"0",NULL,"0","0",NULL,"0","0","0",NULL,"0","1","0","0","1",NULL,NULL,"2","2","4",NULL,"2",NULL,NULL,"4","2","3",NULL,"2","0","0",NULL,NULL,"0","0","2","3","2","2","2","3",NULL,NULL,NULL,NULL
"459","m",NULL,"1","1","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","0","1","0",NULL,"1","1","0","1","1","0","0",NULL,"1","1","2","2","3","2","1","2","3","4","3","0","1","1","1","1","0","1","0","1","0",NULL,"1","1","0","1","1","0","0","1","3","4","3","2","1","2","2","1","2","2","2","2","2",NULL,NULL,"2","2","2","3","3","2","1","2","3","2","3","2"
"460","m","0","1","0","1","0","0","1","1","1","0","1","0","0","1","0","0","1","0","0","0","1","0",NULL,"1","1","0","0","1","1",NULL,"0","1","4","1","1","3","2","2","1","3","2","3","0","1","0","0","1","0","0","0","1","0",NULL,"1","1","0","0","1","1",NULL,"4","3","1","1","1","1","1","2","3","1","0","2","4","3",NULL,NULL,"1","4","3","2","3","1","3","1","3","2",NULL,NULL
"461","m","1","1","0","1","0","1","0","0","1","1","1","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","1","1","1","1","1","3","0","1","1","3","2","2","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","4","3","1","1","1","4","1","1","3","2","1","0","3","3","3","2","0","1","3","4","3","1","2","1","3","2","3","2"
"484","m","0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"1","1",NULL,NULL,NULL,"0",NULL,NULL,"0","1",NULL,NULL,"0","0",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,NULL,NULL,NULL,"1","1",NULL,NULL,NULL,"0",NULL,NULL,"0","1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"4","3",NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,"1","3","1","3",NULL,NULL,NULL,NULL
"485","m","1","1","0","1","1","1","1","0","0","1","0","0","1","1","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","2","2","2","2","1","3","2","2","1","3","1","0","1","1","0","1","1","0","0","1","1","1","1","1","1","0","1","1","1","1","4","3","2","2","1","1","1","2","3","2","1","2","3","3","1","2","1","2","1","1","3","1","2","1","2","1","2","1"
